url,extraction,lexical,syntactic
https://www.imdb.com/name/nm1675687/bio,Outback Jack,0,0
https://www.imdb.com/name/nm1675687/bio,Holly's World,0,0
https://www.imdb.com/name/nm1675687/bio,The Girls Next Door,0,0
https://www.imdb.com/name/nm1675687/bio,WWE Raw,0,0
https://www.imdb.com/name/nm0001165/bio,Alien,1,1
https://www.imdb.com/name/nm0001165/bio,Gothika,1,1
https://www.imdb.com/name/nm0001165/bio,A Time to Kill,1,1
https://www.imdb.com/name/nm0001873/bio,Searching for Bobby Fischer,1,1
https://www.imdb.com/name/nm0001873/bio,Schindler's List,1,1
https://www.imdb.com/name/nm0001873/bio,The Irishman,1,1
https://www.imdb.com/name/nm0038695/bio,Doctor Who,1,1
https://www.imdb.com/name/nm0038695/bio,Star Trek: Deep Space Nine,1,1
https://www.imdb.com/name/nm0038695/bio,JAG,0,0
https://www.imdb.com/name/nm0101740/bio,Imagine Me & You,0,0
https://www.imdb.com/name/nm0101740/bio,Four Lions,1,1
https://www.imdb.com/name/nm0101740/bio,Spy,1,1
https://www.imdb.com/name/nm1391796/bio,Law & Order,0,0
https://www.imdb.com/name/nm1391796/bio,Murder Mystery,0,0
https://www.imdb.com/name/nm1391796/bio,A Price Above Rubies,0,0
https://www.imdb.com/name/nm1391796/bio,Pokemon,1,0
https://www.imdb.com/name/nm1018007/bio,Lizzy Maguire,1,1
https://www.imdb.com/name/nm1018007/bio,Even Stevens,1,1
https://www.imdb.com/name/nm1018007/bio,NYPD Blue,1,1
https://www.imdb.com/name/nm1018007/bio,The Agency,1,1
https://www.imdb.com/name/nm1018007/bio,Mad T.V.,1,1
https://www.imdb.com/name/nm1018007/bio,The Martin Short Show,1,1
https://www.imdb.com/name/nm1018007/bio,The Brother's Garcia,1,1
https://www.imdb.com/name/nm1018007/bio,I'm with Her,0,0
https://www.imdb.com/name/nm1018007/bio,The Closer,1,1
https://www.imdb.com/name/nm1018007/bio,The O.C.,1,1
https://www.imdb.com/name/nm1018007/bio,Zoey 101,0,0
https://www.imdb.com/name/nm1018007/bio,Without a Trace,0,0
https://www.imdb.com/name/nm0217251/bio,The Karate Kid,1,1
https://www.imdb.com/name/nm0217251/bio,Head of the Class,0,0
https://www.imdb.com/name/nm0217251/bio,The Karate Kid Part II,1,1
https://www.imdb.com/name/nm0235652/bio,Compliance,1,1
https://www.imdb.com/name/nm0235652/bio,Hereditary,1,1
https://www.imdb.com/name/nm0235652/bio,Garden State,1,1
https://www.imdb.com/name/nm0560806/bio,A Life for a Life,0,0
https://www.imdb.com/name/nm0567204/bio,The Blob,1,1
https://www.imdb.com/name/nm0567204/bio,2012: Ice Age,0,0
https://www.imdb.com/name/nm0567204/bio,Top of the World,0,0
https://www.imdb.com/name/nm0746371/bio,With a Friend Like Harry,1,1
https://www.imdb.com/name/nm0746371/bio,Get Out Your Handkerchiefs,0,0
https://www.imdb.com/name/nm0746371/bio,March or Die,0,0
https://www.imdb.com/name/nm0796533/bio,Malcolm in the Middle,1,0
https://www.imdb.com/name/nm0796533/bio,The O.C.,1,0
https://www.imdb.com/name/nm0796533/bio,Numb3rs,0,0
https://www.imdb.com/name/nm0796533/bio,Land of the Tigers,0,0
https://www.imdb.com/name/nm0796533/bio,The Behavior of Broadus,0,0
https://www.imdb.com/name/nm0796533/bio,Ray Donovan,0,0
https://www.imdb.com/name/nm0796533/bio,Brooklyn Nine-Nine,1,0
https://www.imdb.com/name/nm0796533/bio,NCIS,1,0
https://www.imdb.com/name/nm0796533/bio,Crazy Ex-Girlfriend,1,0
https://www.imdb.com/name/nm0796533/bio,31,0,0
https://www.imdb.com/name/nm0796533/bio,Jimmy Kimmel Live!,1,0
https://www.imdb.com/name/nm0796533/bio,Steven Sears,0,0
https://www.imdb.com/name/nm1469236/bio,The Favourite,1,1
https://www.imdb.com/name/nm1469236/bio,Tyrannosaur,1,1
https://www.imdb.com/name/nm1469236/bio,The Lobster,1,1
https://www.imdb.com/name/nm2072214/bio,Out in the Dark,0,0
https://www.imdb.com/name/nm2072214/bio,Shtisel,1,1
https://www.imdb.com/name/nm2072214/bio,Shir,1,1
https://www.imdb.com/name/nm2836740/bio,The Originals,0,0
https://www.imdb.com/name/nm2836740/bio,Prison Break,1,1
https://www.imdb.com/name/nm2836740/bio,Starstruck,1,1
https://www.imdb.com/name/nm2836740/bio,You Can Change Your Family,1,1
https://www.imdb.com/name/nm2836740/bio,Tell Me A Story,0,0
https://www.imdb.com/name/nm2836740/bio,Prison Break,0,0
https://www.imdb.com/name/nm2836740/bio,The Poker House,0,0
https://www.imdb.com/name/nm2836740/bio,Zeke and Luther,0,0
https://www.imdb.com/name/nm2836740/bio,StarStruck ,0,0
https://www.imdb.com/name/nm2836740/bio,Prom,1,1
https://www.imdb.com/name/nm2836740/bio,The Originals,0,0
https://www.imdb.com/name/nm2836740/bio,16 South,0,0
https://www.imdb.com/name/nm2836740/bio,You Can Choose Your family,0,0
https://www.imdb.com/name/nm2838735/bio,Rush'd,0,0
https://www.imdb.com/name/nm3442484/bio,The Fall,1,1
https://www.imdb.com/name/nm3442484/bio,Gangs in London,0,0
https://www.imdb.com/name/nm3442484/bio,Thirteen,1,1
https://www.imdb.com/name/nm3954896/bio,Days of Our Lives: Episode #1.11388,0,0
https://www.imdb.com/name/nm3954896/bio,Prom,0,0
https://www.imdb.com/name/nm3954896/bio,The Sitter,0,0
https://www.imdb.com/name/nm5116901/bio,Major Crimes,1,1
https://www.imdb.com/name/nm5116901/bio,Good Girls Revolt,1,1
https://www.imdb.com/name/nm5116901/bio,Ratched,1,1
